Model,Circuit (noise_p),(ε δ),K*,time(sec.),robust
iris_4,c_0,-,-,"(0.03, 0.0075)",1.00000,2.59,NO
iris_4,c_1,-,-,"(0.03, 0.0075)",0.81780,1.92,NO
iris_4,c_2,bit flip,0.01,"(0.03, 0.0075)",0.79747,2.65,NO
iris_4,c_2,bit flip,0.001,"(0.03, 0.0075)",0.81570,2.50,NO
iris_4,c_2,bit flip,0.005,"(0.03, 0.0075)",0.80669,2.66,NO
iris_4,c_2,depolarizing,0.001,"(0.03, 0.0075)",0.81483,2.52,NO
iris_4,c_2,depolarizing,0.02,"(0.03, 0.0075)",0.76226,2.55,NO
iris_4,c_2,depolarizing,0.005,"(0.03, 0.0075)",0.80249,2.65,NO
iris_4,c_2,phase flip,0.005,"(0.03, 0.0075)",0.79375,2.69,NO
iris_4,c_2,phase flip,0.001,"(0.03, 0.0075)",0.81282,2.49,NO
iris_4,c_2,phase flip,0.01,"(0.03, 0.0075)",0.77025,2.70,NO
iris_4,c_2,mixed,0.01,"(0.03, 0.0075)",0.79011,2.72,NO
iris_4,c_2,mixed,0.0005,"(0.03, 0.0075)",0.81645,2.92,NO
iris_4,c_2,mixed,0.02,"(0.03, 0.0075)",0.76623,2.64,NO
ehc_6,c_0,-,-,"(0.005, 0.001)",0.99999,12.44,NO
ehc_6,c_1,-,-,"(0.005, 0.001)",0.99983,13.18,NO
ehc_6,c_2,bit flip,0.001,"(0.005, 0.001)",0.99782,14.71,NO
ehc_6,c_2,bit flip,0.005,"(0.005, 0.001)",0.98982,15.07,NO
ehc_6,c_2,bit flip,0.01,"(0.005, 0.001)",0.97983,15.83,NO
ehc_6,c_2,depolarizing,0.0001,"(0.005, 0.001)",0.99969,14.78,NO
ehc_6,c_2,depolarizing,0.01,"(0.005, 0.001)",0.98635,15.31,NO
ehc_6,c_2,depolarizing,0.001,"(0.005, 0.001)",0.99848,14.13,NO
ehc_6,c_2,phase flip,0.01,"(0.005, 0.001)",0.99932,14.26,NO
ehc_6,c_2,phase flip,0.001,"(0.005, 0.001)",0.99978,14.62,NO
ehc_6,c_2,phase flip,0.0001,"(0.005, 0.001)",0.99983,13.67,NO
ehc_6,c_2,mixed,0.0005,"(0.005, 0.001)",0.99981,12.89,NO
ehc_6,c_2,mixed,0.001,"(0.005, 0.001)",0.99978,14.05,NO
ehc_6,c_2,mixed,0.0001,"(0.005, 0.001)",0.99981,14.31,NO
ehc_8,c_0,-,-,"(0.075, 0.0005)",0.99999,27.27,NO
ehc_8,c_1,-,-,"(0.075, 0.0005)",0.92603,27.07,NO
ehc_8,c_2,bit flip,0.01,"(0.075, 0.0005)",0.90628,34.88,NO
ehc_8,c_2,bit flip,0.001,"(0.075, 0.0005)",0.92391,28.41,NO
ehc_8,c_2,bit flip,0.001,"(0.075, 0.0005)",0.92395,28.64,NO
ehc_8,c_2,depolarizing,0.0005,"(0.075, 0.0005)",0.92525,29.08,NO
ehc_8,c_2,depolarizing,0.001,"(0.075, 0.0005)",0.92446,28.12,NO
ehc_8,c_2,depolarizing,0.0001,"(0.075, 0.0005)",0.92587,28.27,NO
ehc_8,c_2,phase flip,0.02,"(0.075, 0.0005)",0.92553,29.23,NO
ehc_8,c_2,phase flip,0.01,"(0.075, 0.0005)",0.92488,30.63,NO
ehc_8,c_2,phase flip,0.0001,"(0.075, 0.0005)",0.92598,28.83,NO
ehc_8,c_2,mixed,0.0005,"(0.075, 0.0005)",0.92516,28.50,NO
ehc_8,c_2,mixed,0.0001,"(0.075, 0.0005)",0.92586,26.62,NO
ehc_8,c_2,mixed,0.001,"(0.075, 0.0005)",0.92429,27.97,NO
fashion_8,c_0,-,-,"(0.005, 0.001)",1.00000,5.88,NO
fashion_8,c_1,-,-,"(0.005, 0.001)",1.00000,6.27,NO
fashion_8,c_2,bit flip,0.0005,"(0.005, 0.001)",0.99899,6.90,NO
fashion_8,c_2,bit flip,0.02,"(0.005, 0.001)",0.95977,7.18,NO
fashion_8,c_2,bit flip,0.005,"(0.005, 0.001)",0.98987,7.10,NO
fashion_8,c_2,depolarizing,0.0005,"(0.005, 0.001)",0.99925,6.94,NO
fashion_8,c_2,depolarizing,0.005,"(0.005, 0.001)",0.99252,7.06,NO
fashion_8,c_2,depolarizing,0.01,"(0.005, 0.001)",0.98505,6.93,NO
