Model,Circuit,(ε δ),Noise Type,p,K*,time(sec.),robust
iris_4,c_0,"(0.01, 0.0005)",None,None,1.00000,1.86,NO
iris_4,c_1,"(0.01, 0.0005)",None,None,0.81117,2.22,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.001,0.80831,2.81,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.002,0.80543,2.70,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.003,0.80548,2.73,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.004,0.80412,2.82,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.005,0.80220,2.71,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.006,0.79937,2.83,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.007,0.79807,2.77,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.008,0.79306,3.08,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.009,0.79566,2.85,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.010,0.79346,2.79,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.011,0.79311,2.75,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.012,0.79073,2.73,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.013,0.78975,2.77,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.014,0.78865,2.77,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.015,0.78680,2.76,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.016,0.78571,2.83,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.017,0.78365,2.77,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.018,0.77915,2.97,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.019,0.78044,2.76,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.020,0.77315,2.72,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.021,0.77804,2.75,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.022,0.77673,2.72,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.023,0.77516,2.78,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.024,0.77055,2.78,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.025,0.77209,2.74,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.026,0.76979,2.72,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.027,0.76921,2.76,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.028,0.76627,2.98,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.029,0.76660,2.80,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.030,0.76523,2.73,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.031,0.76373,2.71,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.032,0.76224,2.68,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.033,0.76068,2.66,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.034,0.75783,2.77,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.035,0.75799,2.84,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.036,0.75607,2.72,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.037,0.75520,2.74,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.038,0.75377,2.99,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.039,0.75169,2.78,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.040,0.75033,2.68,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.041,0.74944,2.66,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.042,0.74798,2.68,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.043,0.74001,2.69,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.044,0.74514,2.65,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.045,0.74388,2.74,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.046,0.74260,2.71,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.047,0.74122,2.66,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.048,0.73972,2.85,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.049,0.73846,2.82,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.050,0.73704,2.83,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.051,0.73564,2.80,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.052,0.73427,2.79,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.053,0.73275,2.76,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.054,0.73144,2.75,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.055,0.73030,2.82,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.056,0.72875,2.78,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.057,0.72730,2.88,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.058,0.72628,2.78,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.059,0.72496,2.72,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.060,0.72343,2.68,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.061,0.72197,2.76,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.062,0.72091,2.77,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.063,0.71938,2.72,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.064,0.71804,2.74,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.065,0.71662,2.72,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.066,0.71554,2.73,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.067,0.71407,2.78,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.068,0.71299,2.93,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.069,0.71133,2.72,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.070,0.71007,2.73,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.071,0.70896,2.73,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.072,0.70776,2.73,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.073,0.70653,2.78,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.074,0.70492,2.68,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.075,0.70364,2.70,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.076,0.70255,2.72,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.077,0.70136,2.94,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.078,0.69984,2.73,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.079,0.69879,2.71,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.080,0.69759,2.70,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.081,0.69613,2.77,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.082,0.69480,2.77,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.083,0.69361,2.71,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.084,0.69247,2.73,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.085,0.69091,2.69,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.086,0.68960,2.77,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.087,0.68839,2.84,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.088,0.68723,2.72,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.089,0.68624,2.70,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.090,0.68506,2.72,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.091,0.68346,2.74,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.092,0.68234,2.71,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.093,0.68108,2.78,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.094,0.68012,2.62,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.095,0.67890,2.68,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.096,0.67778,2.78,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.097,0.67627,2.83,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.098,0.67499,2.74,NO
