Model,Noise Type,p,ε,RA (%) (VTs),RA (%) (VTs)
FashionMNIST,phase flip,0.001,0.001,90.6,0.7432,97.4,6.3218
FashionMNIST,phase flip,0.001,0.003,81.3,0.5464,95.6,13.5444
FashionMNIST,phase flip,0.01,0.001,90.6,0.7777,97.4,12.6392
FashionMNIST,phase flip,0.01,0.003,81.3,0.5579,95.6,13.8403
TFIchain4,mixed,0.01,0.001,94.38,0.0025,100.0,0.7577
TFIchain4,mixed,0.01,0.005,86.25,0.0034,100.0,1.8267
TFIchain4,mixed,0.01,0.01,80.31,0.007,100.0,2.5683
TFIchain4,mixed,0.05,0.001,94.22,0.0036,100.0,0.7446
TFIchain4,mixed,0.05,0.005,85.78,0.0034,100.0,1.7682
TFIchain4,mixed,0.05,0.01,79.22,0.0042,100.0,2.6395
TFIchain8,bit flip,0.01,0.001,98.44,0.7339,100.0,1.3427
TFIchain8,bit flip,0.01,0.005,93.91,0.7286,100.0,3.1978
TFIchain8,bit flip,0.01,0.01,90.31,0.7591,100.0,4.4057
TFIchain8,bit flip,0.05,0.001,98.12,0.7351,100.0,1.4476
TFIchain8,bit flip,0.05,0.005,92.97,0.8704,100.0,4.8931
TFIchain8,bit flip,0.05,0.01,89.22,0.8339,100.0,6.5601
FashionMNIST_Ent1,phase flip,0.01,0.001,90.6,0.8519,97.4,8.921
FashionMNIST_Ent1,phase flip,0.01,0.01,54.4,0.7487,89.1,176.9451
FashionMNIST_Ent1,phase flip,0.05,0.001,90.6,0.8369,97.4,60.0099
FashionMNIST_Ent1,phase flip,0.05,0.005,71.9,0.7713,93.2,101.3314
iris,depolarizing,0.01,0.001,98.75,0.001,100.0,0.1529
iris,depolarizing,0.01,0.01,92.5,0.001,100.0,5.0708
iris,depolarizing,0.05,0.005,97.5,0.0011,100.0,0.2546
iris,depolarizing,0.05,0.01,91.25,0.0011,100.0,3.2335
mnist49,bit flip,0.001,0.001,92.2,0.5289,93.7,10.6985
mnist49,bit flip,0.001,0.003,82.6,0.6346,88.0,50.3715
mnist49,bit flip,0.01,0.0001,97.1,0.7101,97.7,2.7965
mnist49,bit flip,0.01,0.001,91.9,0.5112,93.7,14.1884
binary,depolarizing,0.001,0.001,88.12,0.002,90.0,0.7798
binary,depolarizing,0.001,0.003,58.75,0.002,59.62,2.6098
binary,depolarizing,0.05,0.0005,98.12,0.0018,99.88,0.1209
