Model,Noise Type_p_ε,Circuit,RA(%),VT(s),RA(%),VT(s)
qubit,depolarizing_0.001_0.001,c_0,88.12,0.0019,90.00,0.7777
qubit,depolarizing_0.001_0.001,c_1,64.12,0.0019,90.00,8.7840
qubit,depolarizing_0.001_0.001,c_2,64.12,0.0024,90.00,2.6260
qubit,depolarizing_0.001_0.0005,c_0,99.38,0.0023,99.88,0.0541
qubit,depolarizing_0.001_0.0005,c_1,83.12,0.0237,99.88,1.8727
qubit,depolarizing_0.001_0.0005,c_2,83.12,0.0019,99.88,1.1693
tfi4,mixed_0.01_0.001,c_0,94.53,0.0035,100.00,1.3133
tfi4,mixed_0.01_0.001,c_1,51.09,0.0059,100.00,58.4612
tfi4,mixed_0.01_0.001,c_2,51.09,0.0063,100.00,58.4654
tfi4,mixed_0.01_0.005,c_0,86.41,0.0037,100.00,3.2592
tfi4,mixed_0.01_0.005,c_1,51.09,0.0240,100.00,60.9529
tfi4,mixed_0.01_0.005,c_2,51.09,0.0242,100.00,60.9831
tfi4,mixed_0.05_0.005,c_0,86.41,0.0037,100.00,3.2489
tfi4,mixed_0.05_0.005,c_1,51.09,0.0057,100.00,58.4034
tfi4,mixed_0.05_0.005,c_2,51.09,0.0072,100.00,58.4327
tfi4,mixed_0.05_0.01,c_0,80.62,0.0038,100.00,4.6519
tfi4,mixed_0.05_0.01,c_1,51.09,0.0057,100.00,58.5765
tfi4,mixed_0.05_0.01,c_2,51.09,0.0062,100.00,58.5665
tfi8,bit-flip_0.01_0.001,c_0,98.44,0.0399,100.00,1.3635
tfi8,bit-flip_0.01_0.001,c_1,51.09,1.5922,100.00,152.3968
tfi8,bit-flip_0.01_0.001,c_2,51.09,1.2226,100.00,195.3076
tfi8,bit-flip_0.01_0.01,c_0,90.62,0.0400,100.00,7.3980
tfi8,bit-flip_0.01_0.01,c_1,51.09,1.5337,100.00,198.6374
tfi8,bit-flip_0.01_0.01,c_2,51.09,1.4993,100.00,203.1301
tfi8,bit-flip_0.05_0.005,c_0,94.22,0.0381,100.00,4.8843
tfi8,bit-flip_0.05_0.005,c_1,51.09,2.1494,100.00,234.3536
tfi8,bit-flip_0.05_0.005,c_2,51.09,1.6656,100.00,206.6076
tfi8,bit-flip_0.05_0.01,c_0,90.62,0.0386,100.00,7.8072
tfi8,bit-flip_0.05_0.01,c_1,51.09,1.8379,100.00,194.4187
tfi8,bit-flip_0.05_0.01,c_2,51.09,1.7592,100.00,200.4176
fashion8,bit-flip_0.01_0.01,c_0,54.40,0.0301,89.10,61.1411
fashion8,bit-flip_0.01_0.01,c_1,56.50,0.5324,56.50,270.0818
fashion8,bit-flip_0.01_0.01,c_2,56.50,0.5068,56.50,270.3164
fashion8,bit-flip_0.05_0.001,c_0,90.60,0.0323,97.40,12.4541
fashion8,bit-flip_0.05_0.001,c_1,56.50,0.4645,56.50,257.0821
fashion8,bit-flip_0.05_0.001,c_2,56.50,0.4276,56.50,258.0031
fashion8,bit-flip_0.05_0.005,c_0,71.90,0.0265,93.20,28.3500
fashion8,bit-flip_0.05_0.005,c_1,56.50,0.3497,56.50,204.9552
fashion8,bit-flip_0.05_0.005,c_2,56.50,0.3641,56.50,238.3421
mnist13,phase-flip_0.001_0.001,c_0,96.50,0.0488,97.90,5.7170
mnist13,phase-flip_0.001_0.001,c_1,100.00,0.3942,100.00,0.3942
mnist13,phase-flip_0.001_0.001,c_2,100.00,0.3931,100.00,0.3932
mnist13,phase-flip_0.001_0.003,c_0,93.80,0.0416,96.00,10.2345
mnist13,phase-flip_0.001_0.003,c_1,100.00,0.3278,100.00,0.3279
mnist13,phase-flip_0.001_0.003,c_2,100.00,0.3269,100.00,0.3269
mnist13,phase-flip_0.01_0.0001,c_0,99.10,0.0582,99.30,1.4880
mnist13,phase-flip_0.01_0.0001,c_1,100.00,0.3204,100.00,0.3204
mnist13,phase-flip_0.01_0.0001,c_2,100.00,0.3084,100.00,0.3085
mnist13,phase-flip_0.01_0.001,c_0,96.50,0.0427,97.90,5.4325
mnist13,phase-flip_0.01_0.001,c_1,100.00,0.3406,100.00,0.3407
mnist13,phase-flip_0.01_0.001,c_2,100.00,0.3328,100.00,0.3328
mnist01,bit-flip_0.005_0.0001,c_0,97.80,0.0401,98.50,6.7416
mnist01,bit-flip_0.005_0.0001,c_1,100.00,0.3314,100.00,0.3315
mnist01,bit-flip_0.005_0.0001,c_2,100.00,0.3585,100.00,0.3586
mnist02,depolarizing_0.0005_0.0001,c_0,98.20,0.0423,99.00,5.3937
mnist02,depolarizing_0.0005_0.0001,c_1,100.00,0.8339,100.00,0.8339
mnist02,depolarizing_0.0005_0.0001,c_2,100.00,0.8429,100.00,0.8429
mnist03,mixed_0.001_0.0001,c_0,99.80,0.0438,99.90,0.5463
mnist03,mixed_0.001_0.0001,c_1,100.00,0.0608,100.00,0.0608
