epsilon,Circuit,Rough Verif RA(%),Rough Verif VT(s),Accurate Verif RA(%),Accurate Verif VT(s)
1.000000e-03,noiseless,98.75,0.0005,100.00,0.1646
1.000000e-03,random noise,98.75,0.0006,100.00,0.1524
1.000000e-03,random & depolarizing_0.01038,98.75,0.0036,100.00,0.1564
2.000000e-03,noiseless,98.75,0.0005,100.00,0.1406
2.000000e-03,random noise,98.75,0.0006,100.00,0.1534
2.000000e-03,random & depolarizing_0.01038,98.75,0.0037,100.00,0.1551
3.000000e-03,noiseless,98.75,0.0005,100.00,0.1427
3.000000e-03,random noise,97.50,0.0007,100.00,0.2928
3.000000e-03,random & depolarizing_0.01038,97.50,0.0037,100.00,0.2949
4.000000e-03,noiseless,98.75,0.0005,100.00,0.1411
4.000000e-03,random noise,96.25,0.0007,100.00,2.8377
4.000000e-03,random & depolarizing_0.01038,95.00,0.0036,100.00,2.9825
5.000000e-03,noiseless,98.75,0.0005,100.00,0.1404
5.000000e-03,random noise,92.50,0.0007,100.00,7.0609
5.000000e-03,random & depolarizing_0.01038,92.50,0.0037,100.00,7.0952
