epsilon,Circuit,Rough Verif RA(%),Rough Verif VT(s),Accurate Verif RA(%),Accurate Verif VT(s)
1.000000e-03,noiseless,94.40,0.0569,95.40,10.6099
1.000000e-03,random noise,91.60,0.2309,94.20,14.0259
1.000000e-03,random & specified noise,91.60,45.0407,94.20,61.0181
2.000000e-03,noiseless,89.40,0.0372,92.40,21.1714
2.000000e-03,random noise,88.30,0.2731,91.30,22.1347
2.000000e-03,random & specified noise,88.30,46.7507,91.30,69.1732
3.000000e-03,noiseless,84.60,0.0363,88.90,31.3292
3.000000e-03,random noise,85.60,0.2759,89.90,29.0643
3.000000e-03,random & specified noise,85.60,45.4986,89.90,114.0097
4.000000e-03,noiseless,79.90,0.0382,85.70,41.0226
4.000000e-03,random noise,83.00,0.2603,87.80,34.7147
4.000000e-03,random & specified noise,83.00,46.8175,87.80,79.7954
5.000000e-03,noiseless,75.60,0.0387,82.50,49.5249
5.000000e-03,random noise,80.40,0.2736,86.30,141.9478
5.000000e-03,random & specified noise,80.40,43.4418,86.30,82.2040
